"node_id";"name";"category";"type";"brief";"owner_fk";"createdAt";"updater_fk";"updatedAt";"categories";"tags";"aliases";"data";"description"
12;"Node";"Category";"Type";"";14;"2024-07-14 15:52:20";14;"2024-07-14 15:52:20";"""Category""";"";"";"";""
13;"Node2";"Category";"Type";"";14;"2024-07-14 16:09:04";0;"2024-07-14 16:09:04";"""Category""";"";"";"";""
14;"Node3";"Category";"Type";"";14;"2024-07-14 17:23:42";0;"2024-07-14 17:23:42";"""Cat3""";"";"";"";""
15;"Node for L";"Category";"Type";"";13;"2024-07-14 17:24:53";0;"2024-07-14 17:24:53";"""Cat L""";"";"";"";""
16;"Bananas";"Category";"Type";"";14;"2024-07-15 18:03:38";0;"2024-07-15 18:03:38";"""Fruit""";"";"";"";""
17;"Node Name 1";"Category";"Type";"";14;"2024-07-16 17:12:06";0;"2024-07-16 17:12:06";"""Category 1, Category 2""";"";"";"";""
18;"Node Name 2";"Category";"Type";"";14;"2024-07-16 17:17:49";0;"2024-07-16 17:17:49";"""Cat""";"";"";"";""
19;"Node Name 3";"Category";"Type";"";14;"2024-07-16 17:18:58";0;"2024-07-16 17:18:58";"""Cat""";"";"";"";""
20;"Node Name 4";"Category";"Type";"";14;"2024-07-16 17:25:25";0;"2024-07-16 17:25:25";"""Cat""";"";"";"";""
21;"Node Name 5";"Category";"Type";"";14;"2024-07-16 17:26:25";0;"2024-07-16 17:26:25";"""Cat""";"";"";"";""
22;"Ramen";"Category";"Type";"";14;"2024-07-16 17:34:23";0;"2024-07-16 17:34:23";"""Meal""";"";"";"";""
23;"Menudo";"Category";"Type";"";14;"2024-07-16 18:23:37";0;"2024-07-16 18:23:37";"""Meal, Soup""";"";"";"";""
24;"Insane";"Category";"Type";"";14;"2024-07-17 07:05:27";0;"2024-07-17 07:05:27";"""Song""";"";"";"";""
25;"We Who Are Not As Others";"Category";"Type";"";14;"2024-07-19 21:10:53";0;"2024-07-19 21:10:53";"""Song by Sepultura""";"";"";"";""
27;"We Who Are Not As Others 2";"Category";"Type";"";14;"2024-07-19 21:12:41";0;"2024-07-19 21:12:41";"""Song by Sepultura""";"";"";"";""
28;"Pickup Full of Pink Carnations";"Category";"Type";"";14;"2024-07-19 21:58:33";0;"2024-07-19 21:58:33";"""Indie Rock""";"";"";"";""
29;"Liquid Death SW";"Category";"Type";"";14;"2024-07-22 14:33:57";0;"2024-07-22 14:33:57";"""Drink - Sparkling Water""";"";"";"";""
30;"Liquid Death Mountain Water";"Category";"Type";"";14;"2024-07-23 18:35:32";0;"2024-07-23 18:35:32";"";"";"";"";""
